gene,WD_t0_KO_VS_wWD_t0_wt_FC
Syk,1.22735713372167
Dact1,1.12895874053388
Icam1,0.8814200093331541
Abca8a,1.2578355751795
Lbp,2.1907268727083
Fgf18,2.22638495773916
Inhbb,1.5794639779559498
Trmt10c,-1.00502967949472
Myo1f,1.96102771830253
Runx1,1.53413871446371
Piezo2,1.5326660165863202
Vsir,0.788016240456202
Gm10591,3.27521559077838
Slc12a2,-1.39498052248968
Adamts5,0.889706816529354
Ackr2,1.59170910476172
Lpar5,3.6130858896876603
Slco2a1,1.7159599830660701
Cdh11,1.65176910024263
Fam174b,1.3464169917581998
Sox4,1.2425256529193
Col14a1,1.6863152938439199
Tbx3,-1.4244418374985
Emilin2,1.95921671238089
Armc1,-0.7772899959398539
Fads6,2.49305166113048
Apod,1.76644665235429
Cp,1.05958582248724
Pltp,1.16381420049678
Robo1,1.8092469359238201
Car4,-1.54460912229739
Lrp1,1.47415381160608
Smoc2,1.7983435425270802
Ccl21c,3.27521559077838
Loxl4,1.5924030821203898
Stab1,1.2604747119433501
Nipal3,0.9132883944865079
Pex13,-1.27420914734376
Adcy3,-1.67321092088182
Egflam,1.3236230943211598
Rasgef1b,1.61619536395181
Col3a1,1.3581510602276698
Rbp7,-2.71501131905725
Sc5d,-1.0940530625163298
Folh1,1.9020806128820902
Cacna1g,1.89953355773552
Atp13a2,1.01315429713661
Ephb2,1.3583038212355802
Capg,1.1287933860756
Pik3r5,1.27207045574908
Serpina1c,-8.58621153005345
Olfr856-ps1,-1.02599871771672
Naa30,-0.8632147189769821
Dbn1,1.03781921893494
Timm8a1,-1.22524228380234
Smim10l1,-0.95744551073742
Sumo1,-0.7649737622154251
Apobec2,4.06473205172027
Ptgir,1.3452607127993799
Tns3,1.05598349228582
Gdf7,3.6614566834638103
Camk1d,1.2553046988409298
Hey1,-1.15568423186649
Fndc1,1.7532799638757102
Gpc3,1.74208685710594
Vat1,1.08006285399463
Ccbe1,1.5563786482450899
Plac9a,1.91496515015657
Plac9b,1.69310682743757
Cd34,0.864397641939766
Slc7a6,-0.906036086522249
Irf5,1.2197845155632
