gene,WD_t1_KO_VS_WD_t1_DKO_FC
Ccm2l,0.7833744345302901
Prkaa2,0.781181489804583
Ech1,1.22040186639919
2510009E07Rik,-0.919308756825147
Arl4a,0.9513588937385901
Ostc,-1.13447760767258
Gla,-2.83616625984218
Plekho2,-1.3222052296696
Loxl3,-1.3711383581535102
Sgsh,-0.775986969676219
Hoxa5,0.994026782196699
Adam9,-0.849415414764052
Armcx3,-0.7341181369308141
Gimap8,1.20473791010118
Pianp,-2.33622762137752
Atl2,0.967818793151477
Lasp1,-0.747488783304418
Laptm5,-2.0890821868289198
Igkv3-4,5.882824041958821
Mpp1,-0.7429917017850551
C1qb,-2.28099386185459
Blvrb,-0.8170701539782059
Ppp1r3d,1.01723509970797
Fah,1.2287761755705902
Pitpnm2,0.7268511765982729
Postn,-1.77807087325102
Renbp,-1.9452689795701499
Thbs1,-3.41532806937926
Tceal8,-1.0606778788324
Rai14,-1.49890410202108
Sh3pxd2b,-1.7545384658450902
Tnfrsf23,-1.62692766356384
Btnl9,1.59964525310478
Tmem104,-1.17865504205211
Jag2,1.30750839408064
Slc15a3,-3.4790922762482404
Hs6st2,-3.18762505410378
Kifc2,0.792047241367258
Ptgfrn,-1.09005686672761
Chst11,-1.12818665515755
Rsph3a,0.7494335814029379
Mmp2,-1.5792467290836998
Soat1,-2.55825916036706
H2-Q5,1.4264594461753601
Slc35e4,-1.22016448147643
Tmem86a,-1.75296143407499
Timp4,1.91297017652428
Snrk,1.2329228983149199
Plxna1,-1.27678391865521
Lox,-1.62290791945806
F7,-3.3590914338897697
Hn1l,-1.09560706483057
Tifa,-1.23508498124691
Abhd12,-1.15108093138021
Ostm1,-0.8911322250394079
Ccdc88c,0.8429341839641379
Tlr13,-2.8590314109302204
Arl8a,-0.6998976809104599
Cxcl16,-2.5592998971433
Ppib,-0.8260949320707859
Slc8a1,-1.42495506429931
Ckap4,-1.3423676263466497
Cebpb,2.0830428793566997
Rarres1,-2.49727307829577
Ccl4,-2.9855991329688196
Mefv,-2.02444648258901
Tcirg1,-1.70626984093223
Tpra1,-0.7334437790250151
C3ar1,-3.07285087977715
Ubxn2a,0.761036884664088
Inhba,-1.4910900917724699
Samd8,-0.841288233191521
Eln,-2.01089655616228
Tmem164,-0.883514771274335
Actb,-0.9426866417654058
Dap,-0.790555733658609
Mdfic,-1.12016058114194
Dsc3,7.1018602396901205
Morf4l1b,2.2957297589173997
Sparc,-1.02025795348499
Gpr35,-2.5729349387490097
Ndufb5,0.982735053360335
L2hgdh,0.8945798522040591
Actg1,-1.261857889991
Clu,-1.74567755661547
Emc6,0.874374893411614
D10Jhu81e,1.0224651382296601
Fabp5,-2.27880970229992
Gpr39,-1.7282152578178602
Serpinb9b,-2.88356641412243
Ttc9,-2.18506956921451
Tmem94,0.813919850343664
Ctsk,-3.06463984730051
Lgals4,1.89056438904879
Dock9,0.8445804003287131
Sh2d1b1,-2.4980351446317597
Fam198b,-1.28239269933046
Tnfrsf11b,-2.83294029705302
Slc37a2,-3.3431393307724906
B4galt5,-1.9938427175613702
Rasip1,0.889967385739196
Pgp,0.810041235196384
Daglb,-1.4595931883572
Adgrg1,1.06726779379108
Pxylp1,-2.6328895340189202
Nrros,-1.1971187710961
