gene,WD_t1_KO_VS_WD_t1_wt_FC
Plk3,1.5426856118288201
Qsox1,-1.01967178302017
Gucy1a3,-1.66404118603522
Pglyrp1,2.1927129866680404
Emp2,-0.967931697300284
Krt18,-1.7832063402711698
Fcmr,3.44616963907261
Bcl2a1d,4.93292432651637
Ncs1,-1.27823358292461
Rgs7bp,-1.7704766693982699
Fam13c,-1.53306923892932
Lcp1,1.58439226073755
Msrb3,-1.2096545038239699
Jam3,-1.02249343157452
Lrrc17,-1.9650929510344
Serpine2,-1.6695299158986001
Wfdc17,1.6259131192805099
Zfp366,1.8038855294961798
C1qtnf9,1.08827342352074
Pnldc1,-1.61181631148296
Rgs4,-1.6891662937843201
Lcn2,3.2714208986540196
Gm1966,1.96319975868767
Col24a1,2.6325834672653703
Arhgef15,0.761292658440951
Mpeg1,2.28823515704803
Afap1l1,1.1351362595385
Ccm2l,0.835548850472548
Slc6a7,-2.05467092876297
2510009E07Rik,-0.718197708287985
Pkia,-0.8372684790143772
B4galt2,-1.3143431232946001
Pgm5,-1.4731146117352802
Armcx3,-0.775964098985365
Zfp707,-0.9673915181709671
Mum1l1,-1.80552912035795
Tlr7,1.3593450096228399
Laptm5,1.3712278543141698
Pcdh7,-1.65117938699094
C1qb,1.53612062943694
Setbp1,-0.7663089061036178
Flt3,2.55458767612299
Tbx18,-1.49166487761819
Fah,1.35585701214342
Igkv8-24,6.07177932636451
Postn,-1.9209712757823203
Nfatc2,1.5475593864378798
Gnb4,-1.1772214869700002
Ncam1,-1.70607420637778
Abcc1,-0.7422464495103911
Mmp8,4.16589961937125
Satb1,-2.56780943839352
Tceal8,-0.8788024079153709
Slfn5,0.864931568411181
Meis1,-0.856808717281832
Dagla,0.9665280231757399
Btnl9,1.6603031568564999
Il1b,2.65346546218673
Phex,-2.10060935366869
Gprasp2,-1.6007555591175602
Jag2,1.4744438131134998
Akap6,-1.5138954897650803
Slc15a3,1.8430894477008701
Glt8d2,-1.0524967856832599
Rsph3a,0.8464398282936229
Igsf9b,-1.79151236904804
H2-Q5,1.8784840320519298
Mettl7a1,0.790425736669797
Rnase6,2.23392111687355
Col4a6,-1.78845526356626
Timp4,1.4537936577533201
Snrk,1.30605681575209
Ighm,3.20950583075431
Sphkap,-1.86100615125573
Fam114a1,-0.91767234077014
Atp1b2,-0.983011784000302
Lamb1,1.4921491329738
Slc3a2,0.84199395357602
Tlr13,1.75095975523553
Gal3st3,-1.51832528751204
Cxcl16,1.1300992346503
Slc2a13,-1.27428851712644
Ms4a4c,2.76268444045568
Slc8a1,-1.2555186175120001
Cebpb,1.97268589038257
Slc10a6,1.73299185701094
Carns1,-1.19401725288178
Xpr1,-1.02060255641516
Mefv,2.38505517026357
Ifi203,1.17964534989879
Mcemp1,2.8551454822921096
Zc3h12d,2.2565143681285296
Cirbp,-1.06970188318072
Cd37,1.69832499160042
Nfkbia,0.800346247659377
Col4a5,-1.68776751667092
Morf4l1b,1.8301924252926298
H2-Q1,-4.90352889727172
Plekhh2,-0.906257689235287
Gpr35,1.66274578251842
Plb1,-2.1261121182268603
Plvap,1.5920661336418402
Abhd14b,-0.9074616071825581
Eng,0.850573674322087
2010111I01Rik,-1.22475801928868
Emc6,0.7991801898346129
Mndal,1.01438936090783
Grem1,2.77916600377497
Akna,1.1382703961299199
Npnt,-1.92674495838528
Ptprz1,-2.12410916438659
Fhl1,-1.3024056472086
Cpe,-1.4524827559701698
Mgat4a,-0.903037170173648
Wwp2,-1.4659212402208102
Fam198b,-1.54484291636553
Efna5,-0.941736725932568
Spint2,-1.07916999709059
Evc,-0.983440879342078
B4galt5,0.745989181683785
Gvin1,1.80973798118568
Rasip1,1.23660893434424
Pgp,1.07759568419685
Oas3,1.6565297392894798
Arhgef2,-0.8213674070864769
Adgrg1,1.75037569528377
Pxylp1,-2.25006029003788
Mt2,2.52406710286568
Ly6a,1.05650237476688
Pdzrn4,-2.23728786543975
Dusp18,1.4495646018507298
Pbx1,-0.83577261830989
Kank1,-1.13902240130481
Irf9,0.770790864776686
Pxmp2,1.4543009249471999
Eps8,1.1951557051429198
Tspan2,-1.73318193201724
Tnfrsf1b,1.19625481539095
Hhip,-2.01518814909305
Zak,-1.08026399509273
Irf8,2.15453178638706
Cnr2,1.63082445970094
Lgals3bp,1.2932236002652
Apoc3,3.3775727300037404
Inpp4a,-0.811671479158645
Bcam,-1.40231337961975
Clca3a1,2.28047154723121
Apobec3,1.4328281854568299
Plod1,0.814374659225402
Eml1,-0.9815598902814878
Ky,-2.04150129821466
Pdlim3,-1.44146920256398
Sgms1,1.01903905506024
Itga8,-2.02564259387067
Cybb,1.68959160526673
Nxpe4,-3.16819188972992
Rbpms,-1.12664096081758
Igkv8-30,4.62086684178521
Dok3,1.6728834369401397
Trpm2,2.3443443550735696
A430105I19Rik,-1.11430699868056
Nkx3-1,-2.53247299225013
Cdh6,-2.27085809433204
Zfp945,-1.01280452244348
Stac2,2.30351636871285
Map1a,-1.42535875583447
Rasa3,0.830029525651979
Tecpr1,1.07886615588328
Tlr1,2.2440579859467205
Map6,-1.0151745011917501
Fam81a,-2.2077739942242403
S100a8,3.8163425006859497
Csgalnact2,-0.854181617362567
Trappc6a,1.1075365706656002
Hyal2,0.748958132524395
Oat,-0.780779900464976
Pik3ap1,2.55956286821392
Hspe1,1.01261384669639
Ch25h,2.39963514040542
Tll1,1.5862323538043899
St5,-1.33364109304107
Prodh,1.6131213780118798
Chd7,1.1460833559236798
Itgax,2.0423757317701297
Scai,-0.9809038580487891
Bpgm,-1.44573050416786
Grb14,-0.994401033304744
Midn,0.719905028570307
Fstl1,-1.04581997872977
Nlrc5,1.39734493901591
Ccl8,2.35602049695052
Usp2,1.56966563096066
Tanc2,-0.853336997658177
Gpihbp1,1.5750605065671202
Hif3a,1.59674993359795
Fbxo30,-1.6908925217839301
Pcp4l1,-1.57963806041195
Fscn1,1.3546145512159398
Abca1,1.24809802742007
Sox17,1.2237298560011598
Gucy1b3,-1.56031466146893
9530053A07Rik,4.49568125187836
Mef2c,-0.867772700494213
Lbh,-1.22867121539802
Vgll4,1.07088240647029
Myl6,-1.08427564900072
Gjc1,-1.04774012399656
Cfd,2.3720822739679503
Chil3,3.03931371173142
H2-M9,2.16641668914083
Mmp13,2.4327394883364
Igsf3,-1.1874356208139198
Pgls,0.714551356474962
Map3k11,0.73690414312231
Tub,-1.6302249791959
Tgfb2,-1.33895285804244
Sgpl1,1.44930925955272
Cacna1d,-1.46022113941859
Lrrfip1,-1.29675072535296
Dock7,-0.8705749355264429
Dolk,0.792200362924148
Thrb,-0.9931299260191229
Siglec1,2.05608162184492
Atp2b4,-0.9351872223037959
C4b,1.78813072790051
Ntf3,-1.60657246356293
Ephb6,-1.2615037092541799
Cnn1,-1.5712016385403702
Arhgef25,-1.07326500580214
Cyth1,0.864366330339686
Susd5,-2.29796447925582
Wbp5,-0.9661772022042209
Nova2,1.2648354652848899
Creb5,-0.9276280745525791
Mt1,1.72459046015406
Samhd1,1.04276168278867
Nexn,-1.2904700452128701
Cd200,-1.1374417063547602
Upp1,2.77320854342529
Ucp2,1.0236861715435301
Ciita,2.57165688440248
Ceacam16,7.59361083131464
Hvcn1,1.73497405548078
Ncf4,1.9729382453461102
Pld4,1.2389204189373402
Rsu1,-0.7355936453979219
Dlg3,-0.981487553726667
Tagln,-1.60038191601405
Sntg2,-1.92305279207955
Cyp4b1,1.6449337542124
Ceacam1,0.9884038448595479
Igfbp3,1.19821456891841
Ank2,-1.1266364416558001
Lhfp,-1.3422985855102398
Rasgrp3,1.1173364810486999
Bcat2,1.10684211748872
Akap17b,-1.16918237450103
Ptbp2,-0.819852578378755
Cyp4f18,2.3884384592033503
Slc12a7,0.8136068906545431
Fkbp7,-0.8590767176021379
Gramd1b,2.4254713660447598
Nfkb2,0.768002580441433
Twsg1,-0.972176718639905
Ly6c1,1.31032448710495
Acss3,1.92742340650315
Ids,-0.750448336066086
Prps2,-1.11841598461896
Ralgds,0.874598698515504
Cdh5,0.921112260760884
Thbs2,-1.12400245802024
Tmsb4x,-0.9802944088246779
Cspg4,-1.21856224415154
Prdx4,-0.8663164889043559
Map1b,-1.4701916342483201
Myl9,-1.75771090024046
Ankrd9,1.4465017326796699
Id2,-1.1067884476118701
Slmap,-0.984757288739585
Slfn2,1.3644349142738899
Ttc7,1.0106667712680601
Prkch,1.13856617362734
Sec16b,-0.9805366229188242
Col6a5,3.20811697893236
Hdgfrp3,-0.8502144244170441
Fgr,1.7373735960985401
Ccdc3,-1.2561842918941002
Socs3,1.78079560233509
Bckdhb,1.19108454738327
Tmem88,1.1013193687962701
Nfam1,1.5316320394809801
Ighv5-4,8.81541304722722
Rnd3,-1.36792063038752
Ppm1e,-1.36374182054804
Treml4,2.26266801893581
Nos1,1.82051224816198
Mettl20,1.1361580694649198
Spns2,1.3861799661053702
Tyrobp,1.53121028530102
Mall,0.9131614674668079
Lrrc8c,1.07042821836195
Cd300lf,2.52137991145936
Fgd5,0.8832576128020581
Mustn1,-1.10604725553134
